SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 2011 to 2021 - (created: 11-03-2023)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
34602;Italy;UAE;Orion RTN-25X;fire control radar;Sensors;2004;No;1;No;2011;No;New;2.5000;2.5000;2.5;No
31164;United States;India;P-8A Poseidon;ASW aircraft;Aircraft;2009;No;2;No;2013;No;New;125.0000;125.0000;250;Yes
53406;Russia;Belarus;9M338;SAM;Missiles;2009;Yes;100;Yes;2011;No;New;0.2500;0.2500;25;No
53562;United States;India;Mk-54 MAKO 324mm;ASW torpedo;Missiles;2011;Yes;8;Yes;2013;Yes;New;0.5000;0.5000;4;No
54322;Australia;United States;KC-707;tanker/transport ac;Aircraft;2011;No;3;No;2011;No;Second hand;80.0000;32;96;No
35792;France;Bulgaria;AS565M Panther;helicopter;Aircraft;2005;No;2;No;2011;No;New;5.0000;5.0000;10;No
53794;United States;United Kingdom;King Air-350 ISR;AGS aircraft;Aircraft;2010;Yes;1;No;2011;No;New;11.0000;11.0000;11;No
53075;Ukraine;Turkmenistan;DR-76;gas turbine;Engines;2008;Yes;4;No;2011;No;New;0.7500;0.7500;3;No
52440;Spain;Mexico;C-295;transport aircraft;Aircraft;2010;No;2;No;2011;No;New;12.0000;12.0000;24;No
54325;Canada;Mexico;PW100;turboprop/turboshaft;Engines;2010;No;4;No;2011;No;New;1.0000;1.0000;4;No
53236;United States;Paraguay;Cessna-208 Caravan;light transport ac;Aircraft;2010;No;1;No;2011;No;New;1.0000;1.0000;1;No
39227;Netherlands;Venezuela;Scout;sea search radar;Sensors;2006;No;4;No;2011;No;New;1.0000;1.0000;4;No
39902;Canada;Turkey;PT6;turboprop/turboshaft;Engines;2007;No;15;Yes;2012;No;New;0.5000;0.5000;7.5;No
54513;Russia;Mexico;Mi-8MT/Mi-17;transport helicopter;Aircraft;2011;No;3;No;2012;No;New;6.7500;6.7500;20.25;No
55713;Russia;China;AK-176 76mm;naval gun;Naval weapons;2005;Yes;1;No;2011;No;New;2.5000;2.5000;2.5;Yes
54720;United States;Indonesia;Model-300;light helicopter;Aircraft;2012;No;2;Yes;2012;Yes;New;0.2000;0.2000;0.4;No
53300;Italy;Egypt;AW139;helicopter;Aircraft;2011;No;2;No;2012;No;New;6.0000;6.0000;12;No
53202;United States;Mexico;SandCat;APV;Armoured vehicles;2010;Yes;164;Yes;2011;No;New;0.1400;0.1400;22.96;No
53369;United States;Nigeria;Hamilton;OPV;Ships;2011;No;1;No;2011;No;Second hand;135.0000;54;54;No
52545;Germany;Kazakhstan;EC145;light helicopter;Aircraft;2010;No;1;Yes;2012;No;New;3.2500;3.2500;3.25;No
4860;United States;Thailand;TPS-77;air search radar;Sensors;2007;No;1;No;2012;Yes;New;11.0000;11.0000;11;No
50990;Sweden;Thailand;Saab-340AEW;AEW&C aircraft;Aircraft;2010;No;1;No;2012;No;Second hand;60.0000;24;24;No
31729;United States;Taiwan;AH-64E Apache;combat helicopter;Aircraft;2010;Yes;2;Yes;2012;No;New;15.0000;15.0000;30;No
54359;Spain;Senegal;Conejera;patrol craft;Ships;2011;No;1;No;2011;No;Second hand;3.9000;1.56;1.56;No
